Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420405000.000000;Hz
Freq Offset;0.000000;Hz
Start;1419905000.000000;Hz
Stop;1420905000.000000;Hz
Span;1000000.000000;Hz
Ref Level;20.000000;dBm
Level Offset;0.000000;dB
Rf Att;30.000000;dB
El Att;0.000000;dB
RBW;3000.000000;Hz
VBW;1000.000000;Hz
SWT;0.002100;s
Sweep Count;0;
Window;1;TOI
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Values;1001;
1419905499.5004994869;-82.30678558349609375;-86.291168212890625
1419906498.5014984608;-84.455047607421875;-89.1740570068359375
1419907497.5024974346;-89.70026397705078125;-93.72843170166015625
1419908496.5034964085;-86.68740081787109375;-94.8481292724609375
1419909495.5044953823;-86.600250244140625;-91.37389373779296875
1419910494.5054943562;-86.40999603271484375;-90.4583892822265625
1419911493.50649333;-86.3658294677734375;-94.9855804443359375
1419912492.5074923038;-86.51631927490234375;-102.1272430419921875
1419913491.5084912777;-85.37920379638671875;-94.55596923828125
1419914490.5094902515;-84.97354888916015625;-89.13544464111328125
1419915489.5104892254;-85.29279327392578125;-86.8881378173828125
1419916488.5114881992;-84.41844940185546875;-90.11576080322265625
1419917487.5124871731;-84.38629150390625;-90.61312103271484375
1419918486.5134861469;-85.385162353515625;-88.739288330078125
1419919485.5144851208;-86.69060516357421875;-93.0789337158203125
1419920484.5154840946;-86.86997222900390625;-95.37660980224609375
1419921483.5164830685;-88.0202484130859375;-90.68000030517578125
1419922482.5174820423;-88.68033599853515625;-90.47608184814453125
1419923481.5184810162;-90.13787841796875;-96.96109771728515625
1419924480.51947999;-92.5043792724609375;-95.2982940673828125
1419925479.5204789639;-93.21668243408203125;-98.86560821533203125
1419926478.5214779377;-92.9104156494140625;-101.2739105224609375
1419927477.5224769115;-93.24590301513671875;-102.7360687255859375
1419928476.5234758854;-91.6841278076171875;-102.657958984375
1419929475.5244748592;-89.48602294921875;-101.94440460205078125
1419930474.5254738331;-88.7011260986328125;-100.37274932861328125
1419931473.5264728069;-89.305419921875;-95.70269775390625
1419932472.5274717808;-87.8391571044921875;-93.5692901611328125
1419933471.5284707546;-85.29119110107421875;-92.9711761474609375
1419934470.5294697285;-84.8268280029296875;-90.45546722412109375
1419935469.5304687023;-85.073944091796875;-87.1627960205078125
1419936468.5314676762;-85.94582366943359375;-89.2662811279296875
1419937467.53246665;-87.56443023681640625;-90.88629150390625
1419938466.5334656239;-90.31713104248046875;-92.88732147216796875
1419939465.5344645977;-90.3770904541015625;-93.3876495361328125
1419940464.5354635715;-90.44666290283203125;-95.98602294921875
