Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420405000.000000;Hz
Freq Offset;0.000000;Hz
Start;1419905000.000000;Hz
Stop;1420905000.000000;Hz
Span;1000000.000000;Hz
Ref Level;20.000000;dBm
Level Offset;0.000000;dB
Rf Att;30.000000;dB
El Att;0.000000;dB
RBW;3000.000000;Hz
VBW;1000.000000;Hz
SWT;0.002100;s
Sweep Count;0;
Window;1;TOI
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Values;1001;
1419905499.5004994869;-86.76007080078125;-89.4045562744140625
1419906498.5014984608;-88.11260986328125;-89.89997100830078125
1419907497.5024974346;-87.9303131103515625;-90.96463775634765625
1419908496.5034964085;-85.2173004150390625;-90.65533447265625
1419909495.5044953823;-83.15059661865234375;-86.41405487060546875
1419910494.5054943562;-82.97988128662109375;-84.98148345947265625
1419911493.50649333;-84.17935943603515625;-87.03003692626953125
1419912492.5074923038;-87.88896942138671875;-93.20168304443359375
1419913491.5084912777;-90.5515899658203125;-99.5776824951171875
1419914490.5094902515;-89.26039886474609375;-99.4297943115234375
1419915489.5104892254;-89.06435394287109375;-91.65677642822265625
1419916488.5114881992;-88.67868804931640625;-95.58127593994140625
1419917487.5124871731;-87.620147705078125;-104.6592559814453125
1419918486.5134861469;-87.27884674072265625;-105.1087493896484375
1419919485.5144851208;-87.59709930419921875;-100.09380340576171875
1419920484.5154840946;-89.5281982421875;-98.032135009765625
1419921483.5164830685;-89.8878326416015625;-93.90549468994140625
1419922482.5174820423;-88.80844879150390625;-91.806488037109375
1419923481.5184810162;-88.8292999267578125;-89.64397430419921875
1419924480.51947999;-87.89046478271484375;-90.12178802490234375
1419925479.5204789639;-86.38455963134765625;-89.69074249267578125
1419926478.5214779377;-85.67848968505859375;-88.5056304931640625
1419927477.5224769115;-86.0009002685546875;-88.19557952880859375
1419928476.5234758854;-87.99367523193359375;-96.83306884765625
1419929475.5244748592;-88.110504150390625;-93.4586181640625
1419930474.5254738331;-85.42377471923828125;-89.275634765625
1419931473.5264728069;-83.026153564453125;-90.86417388916015625
1419932472.5274717808;-81.42653656005859375;-91.262481689453125
1419933471.5284707546;-81.268035888671875;-89.9632110595703125
1419934470.5294697285;-82.296234130859375;-88.7623443603515625
1419935469.5304687023;-85.36139678955078125;-90.09334564208984375
1419936468.5314676762;-88.388458251953125;-91.97174835205078125
1419937467.53246665;-92.4174652099609375;-101.93512725830078125
1419938466.5334656239;-90.89199066162109375;-96.2510528564453125
1419939465.5344645977;-89.8713226318359375;-92.321929931640625
1419940464.5354635715;-87.71169281005859375;-95.353973388671875
