Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420405000.000000;Hz
Freq Offset;0.000000;Hz
Start;1419905000.000000;Hz
Stop;1420905000.000000;Hz
Span;1000000.000000;Hz
Ref Level;20.000000;dBm
Level Offset;0.000000;dB
Rf Att;30.000000;dB
El Att;0.000000;dB
RBW;3000.000000;Hz
VBW;1000.000000;Hz
SWT;0.002100;s
Sweep Count;0;
Window;1;TOI
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Values;1001;
1419905499.5004994869;-84.23758697509765625;-86.75644683837890625
1419906498.5014984608;-82.92546844482421875;-87.49033355712890625
1419907497.5024974346;-83.0328369140625;-92.8621826171875
1419908496.5034964085;-84.83615875244140625;-109.10132598876953125
1419909495.5044953823;-88.49733734130859375;-100.26847076416015625
1419910494.5054943562;-87.4654083251953125;-93.46852874755859375
1419911493.50649333;-84.39902496337890625;-92.71759796142578125
1419912492.5074923038;-82.98931884765625;-89.57530975341796875
1419913491.5084912777;-82.7975311279296875;-89.42391204833984375
1419914490.5094902515;-83.10776519775390625;-85.9570159912109375
1419915489.5104892254;-84.0960693359375;-87.15699005126953125
1419916488.5114881992;-84.56067657470703125;-100.94614410400390625
1419917487.5124871731;-86.11163330078125;-93.9847412109375
1419918486.5134861469;-87.75502777099609375;-93.4680633544921875
1419919485.5144851208;-88.8441162109375;-98.49826812744140625
1419920484.5154840946;-87.43184661865234375;-97.20339202880859375
1419921483.5164830685;-87.2549896240234375;-95.60326385498046875
1419922482.5174820423;-88.149322509765625;-93.689727783203125
1419923481.5184810162;-89.176727294921875;-90.31697845458984375
1419924480.51947999;-87.4974212646484375;-89.67790985107421875
1419925479.5204789639;-85.32492828369140625;-87.1126251220703125
1419926478.5214779377;-83.3889617919921875;-85.583099365234375
1419927477.5224769115;-81.5399169921875;-83.5713958740234375
1419928476.5234758854;-81.449493408203125;-83.0604705810546875
1419929475.5244748592;-82.50078582763671875;-85.612457275390625
1419930474.5254738331;-82.5567626953125;-86.69223785400390625
1419931473.5264728069;-82.88466644287109375;-85.09183502197265625
1419932472.5274717808;-81.4741973876953125;-89.5638275146484375
1419933471.5284707546;-81.366668701171875;-101.54016876220703125
1419934470.5294697285;-82.49434661865234375;-91.58451080322265625
1419935469.5304687023;-85.81856536865234375;-92.43597412109375
1419936468.5314676762;-88.40789794921875;-96.52010345458984375
1419937467.53246665;-86.48050689697265625;-89.09873199462890625
1419938466.5334656239;-85.3852081298828125;-88.06671905517578125
1419939465.5344645977;-85.62821197509765625;-90.6943817138671875
1419940464.5354635715;-88.17724609375;-93.32378387451171875
