Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420405000.000000;Hz
Freq Offset;0.000000;Hz
Start;1419905000.000000;Hz
Stop;1420905000.000000;Hz
Span;1000000.000000;Hz
Ref Level;20.000000;dBm
Level Offset;0.000000;dB
Rf Att;30.000000;dB
El Att;0.000000;dB
RBW;3000.000000;Hz
VBW;1000.000000;Hz
SWT;0.002100;s
Sweep Count;0;
Window;1;TOI
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Values;1001;
1419905499.5004994869;-84.2447052001953125;-88.32709503173828125
1419906498.5014984608;-83.09818267822265625;-89.1516265869140625
1419907497.5024974346;-83.2510986328125;-88.96022796630859375
1419908496.5034964085;-85.00089263916015625;-87.9941558837890625
1419909495.5044953823;-88.32175445556640625;-91.68325042724609375
1419910494.5054943562;-89.51708221435546875;-96.83974456787109375
1419911493.50649333;-90.1632232666015625;-97.265594482421875
1419912492.5074923038;-90.60141754150390625;-96.8881072998046875
1419913491.5084912777;-88.4076995849609375;-93.215911865234375
1419914490.5094902515;-85.8142852783203125;-100.0850067138671875
1419915489.5104892254;-85.1906585693359375;-94.36421966552734375
1419916488.5114881992;-85.39876556396484375;-91.14586639404296875
1419917487.5124871731;-87.15412139892578125;-91.49822998046875
1419918486.5134861469;-88.37316131591796875;-92.812408447265625
1419919485.5144851208;-88.1906585693359375;-99.5541839599609375
1419920484.5154840946;-88.63060760498046875;-95.33449554443359375
1419921483.5164830685;-84.948516845703125;-96.15749359130859375
1419922482.5174820423;-84.40198516845703125;-94.49260711669921875
1419923481.5184810162;-84.79714202880859375;-90.01445770263671875
1419924480.51947999;-86.49092864990234375;-88.05146026611328125
1419925479.5204789639;-86.49021148681640625;-91.04795074462890625
1419926478.5214779377;-86.80876922607421875;-90.43654632568359375
1419927477.5224769115;-87.9814300537109375;-90.05374908447265625
1419928476.5234758854;-88.4961700439453125;-94.68135833740234375
1419929475.5244748592;-86.90381622314453125;-98.59647369384765625
1419930474.5254738331;-86.6009368896484375;-92.0238189697265625
1419931473.5264728069;-86.5912628173828125;-89.34049224853515625
1419932472.5274717808;-86.55937957763671875;-89.0149078369140625
1419933471.5284707546;-86.67053985595703125;-89.79815673828125
1419934470.5294697285;-88.12847137451171875;-91.55110931396484375
1419935469.5304687023;-87.43010711669921875;-94.8188018798828125
1419936468.5314676762;-84.5576171875;-94.72966766357421875
1419937467.53246665;-84.274688720703125;-90.16252899169921875
1419938466.5334656239;-85.49610137939453125;-88.41515350341796875
1419939465.5344645977;-85.373443603515625;-93.97087860107421875
1419940464.5354635715;-85.843780517578125;-92.850860595703125
